,Close price,Mean_10days,Std_10days,Var_10days,label_10days
262,0.864884,0.796338,0.065749,0.004323,medium
263,0.792306,0.796338,0.065749,0.004323,medium
264,0.711664,0.796338,0.065749,0.004323,medium
265,0.762066,0.796338,0.065749,0.004323,medium
266,0.741905,0.796338,0.065749,0.004323,medium
267,0.749969,0.796338,0.065749,0.004323,medium
268,0.762066,0.796338,0.065749,0.004323,medium
269,0.788274,0.796338,0.065749,0.004323,medium
270,0.794322,0.738276,0.028437,0.000809,medium
271,0.774162,0.738276,0.028437,0.000809,medium
272,0.762066,0.738276,0.028437,0.000809,medium
273,0.743921,0.738276,0.028437,0.000809,medium
274,0.717713,0.738276,0.028437,0.000809,medium
275,0.731825,0.738276,0.028437,0.000809,medium
276,0.709648,0.738276,0.028437,0.000809,medium
277,0.701584,0.738276,0.028437,0.000809,medium
278,0.721745,0.738276,0.028437,0.000809,medium
279,0.725777,0.738276,0.028437,0.000809,medium
280,0.725777,0.711664,0.013851,0.000192,medium
281,0.715697,0.711664,0.013851,0.000192,medium
282,0.69352,0.711664,0.013851,0.000192,medium
283,0.7036,0.711664,0.013851,0.000192,medium
284,0.739889,0.711664,0.013851,0.000192,medium
285,0.721745,0.711664,0.013851,0.000192,medium
286,0.711664,0.711664,0.013851,0.000192,medium
287,0.69352,0.711664,0.013851,0.000192,medium
288,0.707632,0.711664,0.013851,0.000192,medium
289,0.7036,0.711664,0.013851,0.000192,medium
290,0.719729,0.703298,0.015288,0.000234,medium
291,0.707632,0.703298,0.015288,0.000234,medium
292,0.735857,0.703298,0.015288,0.000234,medium
293,0.701584,0.703298,0.015288,0.000234,medium
294,0.69352,0.703298,0.015288,0.000234,medium
295,0.681424,0.703298,0.015288,0.000234,medium
296,0.687472,0.703298,0.015288,0.000234,medium
297,0.711664,0.703298,0.015288,0.000234,medium
298,0.699568,0.703298,0.015288,0.000234,medium
299,0.694526,0.703298,0.015288,0.000234,medium
300,0.707632,0.719124,0.020933,0.000438,medium
301,0.713681,0.719124,0.020933,0.000438,medium
302,0.707632,0.719124,0.020933,0.000438,medium
303,0.7036,0.719124,0.020933,0.000438,medium
304,0.69352,0.719124,0.020933,0.000438,medium
305,0.701584,0.719124,0.020933,0.000438,medium
306,0.731825,0.719124,0.020933,0.000438,medium
307,0.731825,0.719124,0.020933,0.000438,medium
308,0.731825,0.719124,0.020933,0.000438,medium
309,0.768114,0.719124,0.020933,0.000438,medium
310,0.69352,0.59554,0.046186,0.002133,medium
311,0.649167,0.59554,0.046186,0.002133,medium
312,0.602798,0.59554,0.046186,0.002133,medium
313,0.614894,0.59554,0.046186,0.002133,medium
314,0.598766,0.59554,0.046186,0.002133,medium
